Dataset,Seed,OA,AA,Kappa,Best_Val_OA,Train_Time_min
Houston13,302,0.990989,0.990675,0.990259,0.998658,6.340000
Houston13,252,0.988847,0.991048,0.987944,0.994631,8.180000
Houston13,262,0.987370,0.987456,0.986348,0.989262,7.300000
Houston13,292,0.987148,0.989612,0.986110,0.985235,8.170000
Houston13,242,0.985597,0.986490,0.984432,0.987919,7.060000
Houston13,282,0.985302,0.987042,0.984111,0.986577,7.210000
Houston13,272,0.984120,0.975261,0.982827,0.989262,8.260000
Houston13,322,0.983012,0.984570,0.981636,0.990604,8.360000
Houston13,312,0.982643,0.984752,0.981241,0.987919,6.870000
Houston13,332,0.979910,0.981067,0.978280,0.981208,5.320000
Pavia_University,322,0.997637,0.995648,0.996869,0.998595,9.690000
Pavia_University,252,0.997455,0.995632,0.996628,0.999532,9.710000
Pavia_University,242,0.997299,0.995737,0.996421,0.998595,10.620000
Pavia_University,312,0.997221,0.994867,0.996318,0.998595,10.170000
Pavia_University,332,0.997091,0.995226,0.996147,1.000000,10.600000
Pavia_University,302,0.996702,0.994261,0.995630,0.998595,9.720000
Pavia_University,272,0.996442,0.993484,0.995286,0.998126,8.360000
Pavia_University,282,0.995871,0.992917,0.994531,0.998595,8.820000
Pavia_University,292,0.995715,0.993078,0.994323,0.998126,9.340000
Pavia_University,262,0.994884,0.990693,0.993224,0.998126,7.220000
Salinas,282,0.999733,0.999635,0.999703,1.000000,13.420000
Salinas,262,0.999610,0.999354,0.999566,1.000000,12.830000
Salinas,242,0.999549,0.999560,0.999497,1.000000,12.780000
Salinas,332,0.999425,0.999437,0.999360,1.000000,13.090000
Salinas,322,0.999343,0.999260,0.999269,0.999629,8.780000
Salinas,292,0.999015,0.998543,0.998903,0.999629,8.230000
Salinas,272,0.998974,0.997358,0.998858,0.999629,10.060000
Salinas,302,0.998871,0.998561,0.998743,0.999258,10.050000
Salinas,312,0.998728,0.998856,0.998583,0.999629,9.420000
Salinas,252,0.998646,0.998794,0.998492,0.999258,11.510000
